rank,caller,n,median_ath,p25_ath,p75_ath,p95_ath,hit2x_pct,hit3x_pct,hit4x_pct,hit5x_pct,hit10x_pct,median_t_recovery_m,median_t2x_m,median_t3x_m,median_t_ath_m,median_t_dd_pre2x_m,median_t2x_hrs,median_dd_initial_pct,median_dd_overall_pct,median_dd_pre2x_pct,median_dd_pre2x_or_horizon_pct,median_dd_after_2x_pct,median_dd_after_3x_pct,median_dd_after_ath_pct,worst_dd_pct,median_peak_pnl_pct,median_ret_end_pct
11,Brook,159,1.8118401483025524,1.3889708922081052,3.101166806483301,17.672850375789462,44.65408805031446,25.157232704402517,20.125786163522015,15.723270440251572,6.918238993710692,7.0,69.0,101.5,325.0,359.5,1.15,-9.848804025260478,-82.68521029050181,-42.97598591282145,-66.65184244159572,-84.81822340783442,-86.09441115627845,-89.55955267908226,-99.6594458103773,87.16878636647796,-47.23999333975498
12,Croz,268,1.7957900849547035,1.2842243997614557,3.210443367145666,15.398972527930567,41.04477611940299,27.238805970149254,19.402985074626866,15.671641791044777,7.462686567164178,5.0,57.0,71.0,183.0,505.0,0.95,-22.42261922040235,-86.44037655571597,-29.44662535260657,-74.54485300530736,-86.50837120040899,-87.4746166403916,-92.05583026440922,-99.74418385739958,79.84324251484689,-65.29719258925428
13,rastaland.TV,197,1.7321604418127838,1.2524048462858317,2.7138315597436824,9.878999537041246,39.59390862944163,21.82741116751269,13.705583756345177,8.629441624365482,4.060913705583756,8.0,86.0,179.0,118.0,492.5,1.4333333333333333,-14.635254828691702,-79.73054975483063,-31.8407957710266,-64.7011110186463,-84.69749669959579,-83.05183419689683,-88.05053171463926,-99.99513840584343,73.48542129456075,-63.18041776060757
14,Austic,458,1.7284592521062674,1.3034288402343917,2.7222198641614685,8.83578653330603,38.427947598253276,20.52401746724891,13.973799126637553,10.262008733624455,3.9301310043668125,6.0,74.0,105.5,144.5,523.0,1.2333333333333334,-14.742325417403567,-85.39084222892211,-31.97257783951838,-77.52355229160506,-87.64948041089872,-86.4182881890428,-92.40982350771155,-99.99875514517244,74.32486261304024,-73.29388273543336
15,meta maxist,316,1.721866595974929,1.309592230476774,3.2203001948445036,19.231033334661582,40.50632911392405,25.0,19.936708860759495,16.139240506329113,6.012658227848101,6.0,66.0,79.0,175.0,500.5,1.1,-14.516555292909839,-85.04212576457837,-34.99947987993033,-77.95520712324591,-86.67303205928071,-81.30848276912934,-92.32476693909511,-99.65183099305632,72.46049183027723,-68.34536151602893
16,Rayn (2026 will be recoup Yr ),96,1.7158527059192366,1.2711259987890975,2.2360425869081033,7.8105271447829265,30.208333333333332,13.541666666666666,8.333333333333332,5.208333333333334,4.166666666666666,2.5,20.0,18.0,20.5,496.0,0.3333333333333333,-16.428864537960436,-61.908064988318465,-30.455813181582048,-55.34712385113243,-79.08008329506721,-83.50752176166922,-78.07933219053741,-93.14229676932555,76.30788281244885,-56.27667208040552
17,Salvatore ✞ |Genius|,32,1.6992081596862731,1.2913461053059854,2.5095881317018547,6.79444616650919,34.375,12.5,12.5,9.375,0.0,2.5,58.0,77.0,44.0,574.5,0.9666666666666667,-17.61115986199089,-72.36627967198108,-16.397213454843317,-52.870220488229805,-83.73480441679946,-89.15653627786631,-81.83794839508768,-99.82913266763738,69.98291505181457,-61.9036287063158
18,Brook Giga I verify @BrookCalls,826,1.6842441064997802,1.2850980867428543,2.822067562897984,10.520910295609497,39.10411622276029,22.033898305084744,14.164648910411623,10.411622276029057,5.326876513317192,5.0,121.0,224.0,286.0,315.0,2.0166666666666666,-7.075493621097506,-67.6851841582528,-28.540145440525578,-50.2434483928201,-79.4738664827504,-81.17528091992966,-78.84012916913721,-99.99984895621643,69.5155213459963,-24.728191191382376
19,Cobalt,52,1.682758531412291,1.275902013520729,3.4132212722458317,26.8448976971264,40.38461538461539,25.0,23.076923076923077,21.153846153846153,9.615384615384617,1.0,202.0,209.0,40.0,418.0,3.3666666666666667,-7.772657785361492,-77.1691699573565,-51.02575146213848,-73.04404435886967,-82.18728633544214,-77.19481127037729,-87.90657861515176,-98.08826173772772,70.1251808877494,-71.53433234211116
20,exy,118,1.6638303828056187,1.305135376921586,2.8983441836528074,35.532468958091066,34.74576271186441,21.1864406779661,13.559322033898304,9.322033898305085,8.47457627118644,3.0,105.0,486.0,200.5,309.5,1.75,-4.725106618655095,-77.29558673205877,-38.37804672129291,-55.467831398524595,-79.34661393585873,-73.49644545813968,-87.20310898947447,-98.80878328555801,66.38303828056186,-27.46198220916203
21,Mac,112,1.566070840799636,1.2686413085247075,2.5299359897345544,10.659635422308485,35.714285714285715,19.642857142857142,15.178571428571427,13.392857142857142,5.357142857142857,6.0,12.0,16.5,18.5,389.5,0.2,-41.31737973155379,-69.28142061019851,-23.709205572683278,-62.11884071305678,-82.56826049108913,-87.1223624291329,-81.44724808474227,-98.62143609634914,59.1717658642836,-64.78264074056976
