rank,caller,n,median_ath,p25_ath,p75_ath,p95_ath,hit2x_pct,hit3x_pct,hit4x_pct,hit5x_pct,hit10x_pct,median_t_recovery_m,median_t2x_m,median_t3x_m,median_t_ath_m,median_t_dd_pre2x_m,median_t2x_hrs,median_dd_initial_pct,median_dd_overall_pct,median_dd_pre2x_pct,median_dd_pre2x_or_horizon_pct,median_dd_after_2x_pct,median_dd_after_3x_pct,median_dd_after_ath_pct,worst_dd_pct,median_peak_pnl_pct,median_ret_end_pct
1,Prometheus,70,2.21542514724613,1.4470090188112412,3.2076537009617527,7.447156981162591,50.0,30.0,15.714285714285714,15.714285714285714,2.857142857142857,2.0,14.0,18.0,29.5,456.0,0.23333333333333334,-56.84276473645258,-87.22125778686296,-24.773374395134358,-72.86853455626598,-92.11507742448053,-92.57477817250188,-94.14765566711519,-98.05966475827826,130.58539335046459,-82.79239076488979
2,Whale 🐳 x,167,2.163851163079067,1.406320637765879,3.5765302874512215,14.293318901484309,53.89221556886228,30.538922155688624,19.760479041916167,14.97005988023952,7.18562874251497,4.0,44.5,60.0,75.0,372.5,0.7416666666666667,-15.053292943583774,-81.68956312873166,-31.37971427058808,-57.66460438226632,-86.03846584200512,-88.1327531302775,-91.1985812378976,-99.69239372476491,117.38502179600947,-67.68440790528368
3,TY/ACC NO INFO,145,2.119674185669843,1.301401517804096,3.87337113517264,23.901322542911522,48.275862068965516,30.344827586206897,22.758620689655174,18.620689655172416,7.586206896551724,5.0,26.0,50.0,96.5,443.0,0.43333333333333335,-26.318279899113705,-81.78895784322877,-34.17335708345213,-72.6308931933252,-89.32268267405472,-91.00903075979019,-91.33137763624481,-97.55324862806883,112.2685077375331,-71.74145978378192
4,davinch,301,1.923868152603281,1.3610736931221945,3.4169696631839592,15.747768771447328,44.18604651162791,28.23920265780731,21.262458471760798,17.940199335548172,9.966777408637874,6.0,56.0,188.0,238.0,434.5,0.9333333333333333,-17.50457316562389,-87.33513477880852,-38.15948166653689,-71.95659059591648,-88.88448414512942,-86.90445195786532,-93.00268963958153,-99.785810585311,93.54662760773363,-61.38185389950965
5,Mistor,171,1.9000694997026466,1.3787746921862563,3.333112517231646,7.719214909416668,46.783625730994146,29.239766081871345,15.204678362573098,11.695906432748536,2.923976608187134,5.0,58.0,56.5,123.0,318.0,0.9666666666666667,-7.515528812321398,-75.23365403320908,-26.00272431377664,-48.32753267218127,-86.16292155448426,-89.27777079066561,-90.07006141809065,-99.98339067040229,91.70051191327924,-42.77423819412842
6,Brook 💀🧲,412,1.8443606536059214,1.3294936664440684,3.1878327431578932,11.592740234355125,43.203883495145625,26.45631067961165,17.233009708737864,12.62135922330097,5.097087378640777,3.0,43.0,73.0,135.0,391.0,0.7166666666666667,-9.484289793064232,-81.14524481047603,-25.842318914729585,-57.33799820480907,-87.24780515537715,-88.50108602363828,-90.28045273242198,-99.84536910056369,86.48971225077626,-52.99543169371332
7,RektBigHustla | @OurCryptoHood Owner,39,1.8251341238217915,1.2833822755800688,3.2854484518568983,7.499881853245614,41.02564102564102,25.64102564102564,12.82051282051282,7.6923076923076925,2.564102564102564,11.0,253.0,90.0,126.0,390.0,4.216666666666667,-11.872791874514332,-67.99137839087702,-23.040099323874653,-55.97380314773839,-83.09071318282322,-88.66910614072012,-79.98380819407929,-97.92051671345108,85.76654261088994,-55.23490450232708
8,Brook 💀l verify @BrookCalls,250,1.8242024291050416,1.316326280300365,2.81881933974344,7.087326451511761,43.2,23.599999999999998,16.0,9.2,4.0,3.5,45.5,68.0,125.0,432.0,0.7583333333333333,-6.514289702779075,-69.82909771978136,-27.273688601033026,-45.17232071440489,-80.48703322899645,-82.74848687586594,-85.6830967993457,-99.72665694385759,83.00852108158765,-41.08599793532623
9,Gidion,52,1.82357202230087,1.1973362519122235,2.91793516288356,9.763573121798682,36.53846153846153,23.076923076923077,15.384615384615385,11.538461538461538,3.8461538461538463,8.5,13.0,13.5,21.0,760.0,0.21666666666666667,-38.59961461403512,-78.6568571104403,-17.28348333461596,-63.90530635982847,-78.0822716732013,-84.16074301208533,-88.98242880566805,-96.60309654829072,82.46453980571131,-59.136928763933774
10,JK -Whale,204,1.820195514548026,1.3474622568061756,2.9505502682147773,8.174280999725859,43.13725490196079,23.52941176470588,14.705882352941178,11.27450980392157,3.9215686274509802,6.0,38.5,85.5,103.0,521.0,0.6416666666666667,-18.4613100551754,-84.14081550865149,-34.35061096190206,-70.84621198785577,-89.02965216419868,-91.25017547170265,-92.44391943039889,-99.99712784483089,84.57815739233071,-73.03779233803866
