TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T21:18:13.000Z,0.937806,10.00,-0.62,100.00,99.38,100.00
2,2025-07-20T15:11:04.000Z,1.020385,9.97,0.20,99.38,99.58,99.69
3,2025-07-23T16:13:11.000Z,0.859468,9.97,-1.40,99.58,98.18,99.65
4,2025-07-23T17:07:49.000Z,1.239904,9.93,2.38,98.18,100.56,99.29
5,2025-07-25T14:52:43.000Z,1.026006,9.95,0.26,100.56,100.82,99.54
6,2025-07-29T12:54:00.000Z,1.048872,9.98,0.49,100.82,101.31,99.75
7,2025-07-30T21:24:02.000Z,1.000000,10.00,0.00,101.31,101.31,99.98
8,2025-07-30T21:28:18.000Z,0.980939,10.01,-0.19,101.31,101.12,100.14
9,2025-07-31T18:09:55.000Z,1.055292,10.03,0.55,101.12,101.67,100.25
10,2025-07-31T19:43:56.000Z,1.870508,10.04,8.74,101.67,110.41,100.39
11,2025-08-01T00:05:09.000Z,0.870718,10.14,-1.31,110.41,109.10,101.43
12,2025-08-01T10:57:36.000Z,1.657076,10.24,6.73,109.10,115.83,102.41
13,2025-08-04T11:51:31.000Z,1.002596,10.40,0.03,115.83,115.86,104.03
14,2025-08-05T20:14:39.000Z,0.882796,10.58,-1.24,115.86,114.62,105.80
15,2025-08-10T02:51:28.000Z,1.083790,10.72,0.90,114.62,115.51,107.20
16,2025-08-14T11:41:12.000Z,1.143437,10.87,1.56,115.51,117.07,108.67
17,2025-08-15T14:29:57.000Z,1.238033,11.03,2.62,117.07,119.70,110.25
18,2025-08-19T12:28:47.000Z,1.392485,11.21,4.40,119.70,124.10,112.09
19,2025-08-19T16:52:24.000Z,0.875172,11.44,-1.43,124.10,122.67,114.39
20,2025-08-20T10:40:35.000Z,1.000644,11.65,0.01,122.67,122.68,116.49
21,2025-08-22T12:55:43.000Z,1.000000,11.77,0.00,122.68,122.68,117.71
22,2025-08-22T13:37:56.000Z,1.001246,11.91,0.01,122.68,122.69,119.07
23,2025-08-22T17:48:23.000Z,0.889985,11.98,-1.32,122.69,121.37,119.76
24,2025-08-23T15:39:44.000Z,1.000000,12.03,0.00,121.37,121.37,120.31
25,2025-08-23T16:10:54.000Z,0.958603,12.10,-0.50,121.37,120.87,120.98
26,2025-08-23T17:25:13.000Z,1.093268,12.15,1.13,120.87,122.01,121.52
27,2025-08-27T19:20:41.000Z,0.989307,12.20,-0.13,122.01,121.88,122.01
28,2025-08-28T09:58:01.000Z,1.000000,12.22,0.00,121.88,121.88,122.23
29,2025-08-28T10:21:33.000Z,0.974496,12.20,-0.31,121.88,121.56,122.01
30,2025-08-28T12:08:27.000Z,0.921632,12.19,-0.96,121.56,120.61,121.90
31,2025-08-28T12:47:09.000Z,0.988355,12.17,-0.14,120.61,120.47,121.69
32,2025-08-28T20:36:44.000Z,0.984892,12.15,-0.18,120.47,120.28,121.47
33,2025-09-03T19:39:26.000Z,1.011967,12.12,0.15,120.28,120.43,121.23
34,2025-09-04T14:16:47.000Z,0.988502,12.11,-0.14,120.43,120.29,121.14
35,2025-09-07T20:00:18.000Z,1.002674,12.10,0.03,120.29,120.32,121.03
36,2025-09-07T21:20:51.000Z,1.057571,12.10,0.70,120.32,121.02,120.97
37,2025-09-08T02:28:28.000Z,0.800000,12.09,-2.42,121.02,118.60,120.87
38,2025-09-08T19:06:41.000Z,0.813922,12.05,-2.24,118.60,116.36,120.55
39,2025-09-08T22:03:37.000Z,0.979212,12.00,-0.25,116.36,116.11,119.99
40,2025-09-09T15:05:00.000Z,0.866936,11.94,-1.59,116.11,114.52,119.45
41,2025-09-09T15:25:50.000Z,1.001675,11.88,0.02,114.52,114.54,118.84
42,2025-09-09T17:24:29.000Z,0.863873,11.82,-1.61,114.54,112.93,118.25
43,2025-09-11T15:47:08.000Z,1.000000,11.75,0.00,112.93,112.93,117.51
44,2025-09-12T17:16:48.000Z,0.903381,11.68,-1.13,112.93,111.80,116.76
45,2025-09-13T05:51:06.000Z,0.992422,11.59,-0.09,111.80,111.71,115.91
46,2025-09-14T03:11:25.000Z,1.596802,11.51,6.87,111.71,118.58,115.05
47,2025-09-14T05:31:36.000Z,0.959638,11.48,-0.46,118.58,118.12,114.81
48,2025-09-14T05:45:02.000Z,1.018759,11.48,0.22,118.12,118.33,114.76
49,2025-09-15T01:20:32.000Z,1.122601,11.50,1.41,118.33,119.74,114.96
50,2025-09-15T23:18:43.000Z,0.849241,11.53,-1.74,119.74,118.00,115.32
51,2025-09-16T10:30:32.000Z,1.017121,11.57,0.20,118.00,118.20,115.67
52,2025-09-16T10:48:23.000Z,1.001796,11.60,0.02,118.20,118.22,116.03
53,2025-09-16T12:07:28.000Z,1.082514,11.66,0.96,118.22,119.18,116.56
54,2025-09-17T04:05:09.000Z,0.978562,11.72,-0.25,119.18,118.93,117.19
55,2025-09-17T07:57:48.000Z,1.000568,11.79,0.01,118.93,118.94,117.90
56,2025-09-19T17:46:38.000Z,1.269174,11.86,3.19,118.94,122.13,118.63
