timestamp,open,high,low,close,volume
1754297100,6.002791591221328e-8,6.805503771366853e-8,5.738665768757868e-8,6.337002392112608e-8,120217844604.93463
1754297400,6.337002392112608e-8,6.337002392112608e-8,3.6180705500184007e-8,5.308327948296124e-8,257995812399.22437
1754297700,5.308327948296124e-8,5.317504768972126e-8,4.6809771262581885e-8,5.315820248851183e-8,36238552910.86591
1754298000,5.315820248851183e-8,5.6281257694579575e-8,5.089704248669936e-8,5.514346195574711e-8,42878638906.5906
1754298300,5.514346195574711e-8,5.744837359959526e-8,5.071396895713527e-8,5.601303239121826e-8,35390588774.82037
1754298600,5.601303239121826e-8,5.601303239121826e-8,4.660306157906737e-8,4.782418284293508e-8,40483604190.9224
1754298900,4.782418284293508e-8,4.903170838754787e-8,3.819465136938199e-8,4.019345330358127e-8,77044312836.5817
1754299200,4.019345330358127e-8,4.12072490121292e-8,3.9404606573765614e-8,4.0467398056848155e-8,5018889881.334929
1754299500,4.0467398056848155e-8,5.075843222325891e-8,3.9102372951880804e-8,5.075843222325891e-8,42532637000.19111
1754299800,5.075843222325891e-8,5.504944124971471e-8,4.472547449837843e-8,5.1257273096167665e-8,71183028507.66585
1754300100,5.1257273096167665e-8,5.170567588336989e-8,4.708678419838256e-8,4.882486089363945e-8,15406193912.398651
1754300400,4.882486089363945e-8,5.547578335322666e-8,4.7623844276686396e-8,5.373569301122137e-8,23831180753.94807
1754300700,5.373569301122137e-8,5.79179061450031e-8,4.778494975769086e-8,4.778494975769086e-8,50726732591.36026
1754301000,4.778494975769086e-8,6.022405272988138e-8,4.351021394801976e-8,5.955163185359869e-8,111075207585.7998
1754301300,5.955163185359869e-8,6.081354627762116e-8,5.1361292555587405e-8,6.009861746149951e-8,60393155971.91584
1754301600,6.009861746149951e-8,6.495333661784571e-8,5.912061732358672e-8,6.068706575678216e-8,20163421472.10179
1754301900,6.068706575678216e-8,8.886134376321896e-8,5.224421262124763e-8,8.199078945617016e-8,376443776762.45654
1754302200,8.199078945617016e-8,8.276068096857139e-8,5.706233792105427e-8,6.685915965943941e-8,250137336026.38876
1754302500,6.685915965943941e-8,7.695928332491465e-8,5.887458536819083e-8,7.57078422285192e-8,179496467166.33987
1754302800,7.57078422285192e-8,7.949319430522058e-8,6.445598258241676e-8,6.727490571159948e-8,122475575327.40894
1754303100,6.727490571159948e-8,8.557103110258344e-8,6.333594053391929e-8,8.557103110258344e-8,146900993454.13248
1754303400,8.557103110258344e-8,9.690333998967056e-8,8.373479282889343e-8,9.027730455306896e-8,62857536716.61125
1754303700,9.027730455306896e-8,9.18370007828841e-8,6.942799694128416e-8,7.677684560516725e-8,103029475077.53014
1754304000,7.677684560516725e-8,9.412001084377642e-8,7.136691927320411e-8,7.423592320777092e-8,179477306867.1104
1754304300,7.423592320777092e-8,8.92472817505078e-8,7.423592320777092e-8,8.399279428944015e-8,178522658611.83374
1754304600,8.399279428944015e-8,1.0831756404575693e-7,7.892425524995791e-8,1.0390554178084797e-7,190497766761.93143
1754304900,1.0390554178084797e-7,1.2944091421381865e-7,9.034532273748595e-8,1.0786935709601986e-7,162143544445.11124
1754305200,1.0786935709601986e-7,1.1985389176709036e-7,1.0236704214394803e-7,1.0388013867129905e-7,116997583580.53261
1754305500,1.0388013867129905e-7,1.2741348350478503e-7,1.028520982757452e-7,1.1597708834927373e-7,98623269233.5268
1754305800,1.1597708834927373e-7,1.1598647943531859e-7,9.679867011570688e-8,1.0156440187868331e-7,108784647896.74364
1754306100,1.0156440187868331e-7,1.0728299651941611e-7,9.593643234740897e-8,9.788535680802777e-8,74366582143.19751
1754306400,9.788535680802777e-8,1.0113492979177104e-7,8.313148208287781e-8,9.561378068085478e-8,85445501370.99155
1754306700,9.561378068085478e-8,1.1063431764287892e-7,9.561378068085478e-8,1.0235226400881758e-7,79194025969.25935
1754307000,1.0235226400881758e-7,1.296548618224764e-7,1.0235226400881758e-7,1.182912330837162e-7,91752521448.75189
1754307300,1.182912330837162e-7,1.275314904764162e-7,1.1734207073339877e-7,1.2422825599061251e-7,52706910114.74671
1754307600,1.2422825599061251e-7,1.4307179609874387e-7,1.2346776854815675e-7,1.41677897644648e-7,92662507239.17804
1754307900,1.41677897644648e-7,1.4607415788874795e-7,1.2995619651876718e-7,1.31624884491138e-7,67568516020.62484
1754308200,1.31624884491138e-7,1.694671215697289e-7,1.3094232603084965e-7,1.633567957385292e-7,58191233876.57014
1754308500,1.633567957385292e-7,1.7971423333869125e-7,1.633567957385292e-7,1.7573210762756824e-7,63041263933.567924
1754308800,1.7573210762756824e-7,1.8272338824032018e-7,1.4657802640131438e-7,1.4718477183268997e-7,47921096553.443535
1754309100,1.4718477183268997e-7,1.6191815911385955e-7,1.3567813600118404e-7,1.413109378661843e-7,50398597363.82754
1754309400,1.413109378661843e-7,1.4135435761030556e-7,1.1927399746497686e-7,1.2105407605549506e-7,101955385969.64305
1754309700,1.2105407605549506e-7,1.2260730038321624e-7,1.0660384766747625e-7,1.1634497298516329e-7,82908013365.01811
1754310000,1.1634497298516329e-7,1.3960244449792525e-7,1.1570503489932774e-7,1.3816034149586924e-7,71474919883.70062
1754310300,1.3816034149586924e-7,1.5597576677086729e-7,1.2974940857448747e-7,1.3719292518886531e-7,54926733967.01857
1754310600,1.3719292518886531e-7,1.8458163202811934e-7,1.3719292518886531e-7,1.8131266567605236e-7,61623884270.61056
1754310900,1.8131266567605236e-7,2.5157917239561637e-7,1.6335981559781449e-7,2.312573862924918e-7,155949305171.2197
1754311200,2.312573862924918e-7,2.5836223443820794e-7,1.9991835720180232e-7,2.0063481129963788e-7,94049088609.9722
1754311500,2.0063481129963788e-7,2.211748899852284e-7,1.7380889742862055e-7,1.7734173745163355e-7,78163177723.57237
1754311800,1.7734173745163355e-7,2.2363658269758412e-7,1.7688643408433902e-7,2.0403268785856558e-7,69177993216.88098
1754312100,2.0403268785856558e-7,2.2247976410312743e-7,1.886503856388127e-7,1.9402382532864372e-7,48727428311.41005
1754312400,1.9402382532864372e-7,1.9740256724279628e-7,1.827828419906631e-7,1.9455200515543123e-7,23913549795.662205
1754312700,1.9455200515543123e-7,2.534129814545035e-7,1.9415467366092497e-7,2.3707489727043437e-7,41992034901.622185
1754313000,2.3707489727043437e-7,2.5027924884469907e-7,2.2621083581425253e-7,2.284972492475958e-7,30492115941.324894
1754313300,2.284972492475958e-7,2.7623747712845715e-7,2.2648243678867364e-7,2.74750714370804e-7,47948428132.70965
1754313600,2.74750714370804e-7,2.797592395496478e-7,2.4982324301913067e-7,2.545417325442904e-7,34245245739.481487
1754313900,2.545417325442904e-7,2.6087323102775367e-7,2.084550013685803e-7,2.1150579907853756e-7,45038665319.00733
1754314200,2.1150579907853756e-7,2.2229598087897911e-7,1.5620238622023734e-7,1.573533860477579e-7,68465780285.81002
1754314500,1.573533860477579e-7,2.1394210256833068e-7,1.5699392983748733e-7,1.8875529073821972e-7,67750396168.51779
1754314800,1.8875529073821972e-7,1.8890639010233036e-7,1.6591961632040446e-7,1.6591961632040446e-7,55737433324.567665
1754315100,1.6591961632040446e-7,1.670232579837971e-7,1.4255645966101664e-7,1.5985726156963447e-7,58070123449.226654
1754315400,1.5985726156963447e-7,1.6009520931838057e-7,1.4045003808715873e-7,1.5403114015047783e-7,34823648511.474434
1754315700,1.5403114015047783e-7,1.5403114015047783e-7,1.23548436277317e-7,1.2614780828735274e-7,76139256657.42146
