timestamp,open,high,low,close,volume
1760493900,1.0539909513543838e-8,2.8017205098545007e-7,1.0539909513543838e-8,2.1111160383186302e-7,324887335980.13367
1760494200,2.1111160383186302e-7,2.3011773914797475e-7,1.5417778875464515e-7,1.8466537125952763e-7,57086373816.86782
1760494500,1.8466537125952763e-7,2.1774383754945006e-7,1.831682056069231e-7,1.8804658567921168e-7,24458827894.86985
1760494800,1.8804658567921168e-7,2.1520314058655044e-7,1.582809048787057e-7,1.8455558852666406e-7,27754881983.983612
1760495100,1.8455558852666406e-7,1.8455558852666406e-7,1.3808176815789852e-7,1.624299005977121e-7,45328014318.89271
1760495400,1.624299005977121e-7,2.1703390439386988e-7,1.624299005977121e-7,1.828864953649648e-7,38745342382.53956
1760495700,1.828864953649648e-7,2.1489934227428583e-7,1.828864953649648e-7,2.0302898682138705e-7,20644492826.31382
1760496000,2.0302898682138705e-7,2.1956839064387613e-7,1.7801053014864725e-7,2.132442130920306e-7,24367844338.34591
1760496300,2.132442130920306e-7,2.747548678794833e-7,2.0772578749613995e-7,2.3727660010437505e-7,33967963391.16568
1760496600,2.3727660010437505e-7,2.3769952801924043e-7,1.8742300267916635e-7,2.2959765089144957e-7,38514166094.31372
1760496900,2.2959765089144957e-7,2.6125147288200184e-7,2.239976788281316e-7,2.2493109704580166e-7,18983908910.22427
1760497200,2.2493109704580166e-7,2.2889415210817218e-7,1.9085102081702356e-7,2.0161294528353243e-7,15761130816.55487
1760497500,2.0161294528353243e-7,3.668537644312415e-7,1.8999692349730918e-7,2.4349200283959137e-7,105189643373.2261
1760497800,2.4349200283959137e-7,2.6621635665064404e-7,2.408511400212556e-7,2.6621635665064404e-7,11982114338.282038
1760498100,2.6621635665064404e-7,2.7597799223888106e-7,2.0814285761408787e-7,2.0814285761408787e-7,33955225413.886623
1760498400,2.0814285761408787e-7,2.547692748946206e-7,2.0814285761408787e-7,2.3655424388250486e-7,17058086941.613256
1760498700,2.3655424388250486e-7,2.4624874943136316e-7,1.9623739177531708e-7,1.9623739177531708e-7,13194204769.75432
