TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T19:23:45.000Z,1.449615,10.00,4.50,100.00,104.50,100.00
2,2025-07-18T19:23:58.000Z,0.798009,10.22,-2.07,104.50,102.43,102.25
3,2025-07-18T20:14:53.000Z,0.792015,10.23,-2.13,102.43,100.30,102.31
4,2025-07-19T16:00:45.000Z,0.998116,10.18,-0.02,100.30,100.28,101.81
5,2025-07-19T19:27:48.000Z,0.861506,10.15,-1.41,100.28,98.88,101.50
6,2025-07-20T20:08:04.000Z,0.855261,10.11,-1.46,98.88,97.42,101.07
7,2025-07-21T10:49:56.000Z,0.792015,10.05,-2.09,97.42,95.32,100.54
8,2025-07-22T07:55:13.000Z,0.961190,9.99,-0.39,95.32,94.94,99.89
9,2025-07-22T08:00:00.000Z,0.980198,9.93,-0.20,94.94,94.74,99.34
10,2025-07-22T20:31:48.000Z,0.966714,9.89,-0.33,94.74,94.41,98.88
11,2025-07-23T09:29:31.000Z,1.069152,9.83,0.68,94.41,95.09,98.32
12,2025-07-23T21:56:09.000Z,1.062245,9.74,0.61,95.09,95.70,97.38
13,2025-07-24T00:39:16.000Z,1.064872,9.67,0.63,95.70,96.32,96.71
14,2025-07-24T23:04:08.000Z,0.943657,9.63,-0.54,96.32,95.78,96.31
15,2025-07-25T01:21:36.000Z,1.086408,9.59,0.83,95.78,96.61,95.86
16,2025-07-27T02:12:56.000Z,0.930193,9.56,-0.67,96.61,95.94,95.63
17,2025-07-27T13:28:15.000Z,0.792015,9.55,-1.99,95.94,93.96,95.49
18,2025-07-28T07:32:19.000Z,0.989640,9.53,-0.10,93.96,93.86,95.35
19,2025-07-28T07:32:27.000Z,0.980198,9.52,-0.19,93.86,93.67,95.24
20,2025-07-28T17:44:33.000Z,0.792015,9.51,-1.98,93.67,91.69,95.13
21,2025-07-29T06:15:09.000Z,1.288607,9.49,2.74,91.69,94.43,94.86
22,2025-07-29T10:37:30.000Z,1.013991,9.48,0.13,94.43,94.56,94.80
23,2025-07-29T13:27:52.000Z,1.082820,9.47,0.78,94.56,95.34,94.68
