Date,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment
2025-07-20,104.50,104.50,4.50,4.50
2025-07-23,95.32,95.47,-4.68,-4.53
2025-07-19,100.30,100.40,0.30,0.40
2025-07-24,94.41,94.55,-5.59,-5.45
2025-07-21,97.42,97.55,-2.58,-2.45
2025-07-28,93.96,94.03,-6.04,-5.97
2025-07-26,96.61,96.81,-3.39,-3.19
2025-07-25,96.32,96.51,-3.68,-3.49
2025-07-27,95.78,95.95,-4.22,-4.05
2025-07-31,96.56,96.79,-3.44,-3.21
2025-07-29,91.69,91.65,-8.31,-8.35
2025-08-02,109.05,109.86,9.05,9.86
2025-08-03,116.11,117.13,16.11,17.13
2025-08-01,96.09,96.30,-3.91,-3.70
2025-08-04,115.17,116.20,15.17,16.20
2025-08-07,120.13,120.61,20.13,20.61
2025-08-08,118.01,118.84,18.01,18.84
2025-08-05,116.35,117.19,16.35,17.19
2025-08-06,121.74,121.95,21.74,21.95
2025-08-10,123.72,123.62,23.72,23.62
2025-08-09,120.97,121.32,20.97,21.32
2025-08-12,120.68,121.09,20.68,21.09
2025-08-14,117.93,118.83,17.93,18.83
2025-08-16,122.44,122.63,22.44,22.63
2025-08-13,120.45,120.91,20.45,20.91
2025-08-15,118.17,119.03,18.17,19.03
2025-08-18,122.61,122.78,22.61,22.78
2025-08-17,118.22,119.15,18.22,19.15
2025-08-20,135.51,133.42,35.51,33.42
2025-08-19,117.91,118.90,17.91,18.90
2025-08-21,135.10,133.09,35.10,33.09
2025-08-22,132.54,131.11,32.54,31.11
2025-08-23,137.04,134.54,37.04,34.54
2025-08-25,135.99,133.75,35.99,33.75
2025-08-27,134.63,132.77,34.63,32.77
2025-08-28,138.91,135.92,38.91,35.92
2025-08-26,138.10,135.32,38.10,35.32
2025-08-29,133.99,132.30,33.99,32.30
2025-08-31,138.34,135.51,38.34,35.51
2025-08-30,141.74,137.98,41.74,37.98
2025-09-02,140.48,137.06,40.48,37.06
2025-09-04,148.54,142.84,48.54,42.84
2025-09-03,145.78,140.90,45.78,40.90
2025-09-05,144.96,140.31,44.96,40.31
2025-09-06,148.53,142.84,48.53,42.84
2025-09-07,160.74,151.06,60.74,51.06
2025-09-08,156.92,148.56,56.92,48.56
2025-09-11,165.01,153.69,65.01,53.69
2025-09-10,159.35,150.12,59.35,50.12
2025-09-13,171.94,157.97,71.94,57.97
2025-09-12,167.84,155.45,67.84,55.45
2025-09-17,163.37,152.67,63.37,52.67
2025-09-15,189.28,168.31,89.28,68.31
2025-09-16,192.87,170.27,92.87,70.27
2025-09-14,189.68,168.54,89.68,68.54
2025-09-19,188.79,168.10,88.79,68.10
2025-09-18,189.17,168.30,89.17,68.30
2025-09-20,193.68,170.67,93.68,70.67
2025-09-23,190.19,168.85,90.19,68.85
2025-09-24,183.70,165.45,83.70,65.45
2025-09-26,182.55,164.84,82.55,64.84
2025-09-28,180.88,163.95,80.88,63.95
2025-09-30,179.58,163.26,79.58,63.26
2025-10-01,175.71,161.18,75.71,61.18
2025-10-04,174.78,160.68,74.78,60.68
2025-10-07,174.65,160.61,74.65,60.61
2025-10-08,172.69,159.53,72.69,59.53
2025-10-13,172.33,159.33,72.33,59.33
2025-10-09,177.73,162.36,77.73,62.36
2025-10-14,176.85,161.87,76.85,61.87
2025-10-15,183.98,165.91,83.98,65.91
2025-10-17,186.00,167.05,86.00,67.05
2025-10-18,185.71,166.89,85.71,66.89
2025-10-25,184.03,165.95,84.03,65.95
2025-10-26,180.26,163.87,80.26,63.87
2025-10-27,179.21,163.30,79.21,63.30
2025-10-28,174.91,160.94,74.91,60.94
2025-10-29,172.00,159.33,72.00,59.33
2025-10-31,182.76,165.31,82.76,65.31
2025-11-03,183.34,165.64,83.34,65.64
2025-11-04,182.48,165.16,82.48,65.16
