Week,PortfolioValue_Reinvestment,PortfolioValue_NoReinvestment,Return_Reinvestment,Return_NoReinvestment,MaxDrawdown_Reinvestment,MaxDrawdown_NoReinvestment
2025-07-14,100.30,100.40,0.30,0.40,4.01,3.92
2025-07-21,96.61,96.81,-3.39,-3.19,7.83,7.74
2025-07-28,116.11,117.13,16.11,17.13,3.66,3.81
2025-08-04,123.72,123.62,23.72,23.62,3.87,3.24
2025-08-11,118.22,119.15,18.22,19.15,4.70,3.88
2025-08-18,137.04,134.54,37.04,34.54,3.43,2.88
2025-08-25,138.34,135.51,38.34,35.51,3.47,2.62
2025-09-01,160.74,151.06,60.74,51.06,2.30,1.77
2025-09-08,189.68,168.54,89.68,68.54,2.97,2.19
2025-09-15,193.68,170.67,93.68,70.67,2.09,1.27
2025-09-22,180.88,163.95,80.88,63.95,4.90,2.90
2025-09-29,174.78,160.68,74.78,60.68,2.68,1.58
2025-10-06,177.73,162.36,77.73,62.36,1.11,0.67
2025-10-13,185.71,166.89,85.71,66.89,0.15,0.10
2025-10-20,180.26,163.87,80.26,63.87,2.54,1.56
2025-10-27,182.76,165.31,82.76,65.31,3.94,2.40
2025-11-03,182.48,165.16,82.48,65.16,0.47,0.29
