TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-07-18T19:38:01.000Z,1.017391,10.00,0.17,100.00,100.17,100.00
2,2025-07-19T11:04:33.000Z,1.170795,10.01,1.71,100.17,101.88,100.09
3,2025-07-24T16:37:09.000Z,1.391341,10.07,3.94,101.88,105.82,100.69
4,2025-07-26T21:09:17.000Z,1.000000,10.20,0.00,105.82,105.82,101.97
5,2025-07-30T00:52:37.000Z,0.800000,10.27,-2.05,105.82,103.77,102.74
6,2025-07-30T22:06:58.000Z,0.894735,10.29,-1.08,103.77,102.69,102.91
7,2025-07-31T00:02:21.000Z,1.037724,10.29,0.39,102.69,103.07,102.88
8,2025-07-31T11:07:27.000Z,0.888324,10.29,-1.15,103.07,101.92,102.90
9,2025-07-31T14:12:05.000Z,1.313370,10.28,3.22,101.92,105.15,102.80
10,2025-08-05T16:14:11.000Z,0.912274,10.30,-0.90,105.15,104.24,103.03
11,2025-08-06T17:36:18.000Z,1.000000,10.35,0.00,104.24,104.24,103.45
12,2025-08-06T22:09:49.000Z,1.009127,10.39,0.09,104.24,104.34,103.86
13,2025-08-06T23:43:23.000Z,0.989306,10.41,-0.11,104.34,104.23,104.11
14,2025-08-07T01:48:47.000Z,1.000000,10.39,0.00,104.23,104.23,103.95
15,2025-08-07T12:42:49.000Z,1.000000,10.38,0.00,104.23,104.23,103.79
16,2025-08-07T13:17:27.000Z,1.447343,10.38,4.64,104.23,108.87,103.83
17,2025-08-07T14:02:57.000Z,1.010872,10.45,0.11,108.87,108.98,104.45
18,2025-08-07T15:35:41.000Z,1.005536,10.50,0.06,108.98,109.04,105.04
19,2025-08-07T16:18:11.000Z,1.000000,10.58,0.00,109.04,109.04,105.75
20,2025-08-07T16:26:29.000Z,1.000000,10.61,0.00,109.04,109.04,106.14
21,2025-08-07T18:09:01.000Z,2.077840,10.66,11.49,109.04,120.53,106.62
22,2025-08-07T20:28:53.000Z,1.000000,10.83,0.00,120.53,120.53,108.25
23,2025-08-08T15:03:11.000Z,1.000000,10.99,0.00,120.53,120.53,109.87
24,2025-08-08T20:21:11.000Z,0.983689,11.15,-0.18,120.53,120.35,111.50
25,2025-08-08T22:11:22.000Z,0.834569,11.31,-1.87,120.35,118.48,113.12
26,2025-08-08T23:02:51.000Z,1.000000,11.45,0.00,118.48,118.48,114.54
27,2025-08-09T00:18:27.000Z,1.061903,11.55,0.71,118.48,119.20,115.50
28,2025-08-09T00:56:45.000Z,1.000000,11.65,0.00,119.20,119.20,116.52
29,2025-08-09T10:59:52.000Z,1.180552,11.75,2.12,119.20,121.32,117.54
30,2025-08-09T12:14:22.000Z,0.989687,11.88,-0.12,121.32,121.20,118.77
31,2025-08-09T13:38:57.000Z,1.000000,12.00,0.00,121.20,121.20,119.98
32,2025-08-09T15:58:04.000Z,0.992947,12.00,-0.08,121.20,121.11,120.05
33,2025-08-09T16:44:15.000Z,1.000000,12.01,0.00,121.11,121.11,120.11
34,2025-08-09T19:05:30.000Z,0.994883,12.02,-0.06,121.11,121.05,120.16
35,2025-08-09T20:59:38.000Z,1.000000,12.02,0.00,121.05,121.05,120.23
36,2025-08-09T22:19:12.000Z,1.000000,12.05,0.00,121.05,121.05,120.49
37,2025-08-10T16:08:41.000Z,0.998042,12.07,-0.02,121.05,121.03,120.75
38,2025-08-11T11:57:01.000Z,1.022397,12.09,0.27,121.03,121.30,120.93
39,2025-08-11T21:12:29.000Z,1.035231,12.11,0.43,121.30,121.72,121.14
40,2025-08-12T03:18:28.000Z,1.074405,12.12,0.90,121.72,122.63,121.18
41,2025-08-12T11:12:22.000Z,1.005543,12.13,0.07,122.63,122.69,121.32
42,2025-08-12T13:58:00.000Z,1.000520,12.15,0.01,122.69,122.70,121.47
43,2025-08-12T14:48:27.000Z,0.800000,12.16,-2.43,122.70,120.27,121.63
44,2025-08-12T22:36:10.000Z,1.000000,12.15,0.00,120.27,120.27,121.55
45,2025-08-12T23:40:30.000Z,0.990907,12.15,-0.11,120.27,120.16,121.47
46,2025-08-13T11:07:57.000Z,0.991080,12.14,-0.11,120.16,120.05,121.38
47,2025-08-13T15:36:23.000Z,1.000000,12.13,0.00,120.05,120.05,121.28
48,2025-08-13T18:03:15.000Z,0.984896,12.12,-0.18,120.05,119.86,121.18
49,2025-08-13T22:04:55.000Z,1.001200,12.10,0.01,119.86,119.88,121.04
50,2025-08-14T11:30:56.000Z,1.000000,12.09,0.00,119.88,119.88,120.85
51,2025-08-14T21:15:09.000Z,0.800000,12.06,-2.41,119.88,117.47,120.58
52,2025-08-16T22:03:05.000Z,1.381776,12.01,4.58,117.47,122.05,120.06
53,2025-08-17T11:02:29.000Z,1.000000,12.00,0.00,122.05,122.05,119.99
54,2025-08-17T21:13:06.000Z,1.595259,12.02,7.15,122.05,129.20,120.17
55,2025-08-17T23:00:57.000Z,1.000000,12.11,0.00,129.20,129.20,121.06
56,2025-08-18T12:07:38.000Z,1.000000,12.20,0.00,129.20,129.20,121.97
57,2025-08-18T22:12:28.000Z,1.003222,12.29,0.04,129.20,129.24,122.89
58,2025-08-19T12:15:49.000Z,1.392485,12.38,4.86,129.24,134.10,123.80
59,2025-08-19T23:45:56.000Z,1.019639,12.52,0.25,134.10,134.35,125.23
60,2025-08-21T00:10:10.000Z,0.845748,12.67,-1.95,134.35,132.39,126.68
61,2025-08-21T15:36:19.000Z,0.987328,12.79,-0.16,132.39,132.23,127.93
62,2025-08-21T16:22:36.000Z,1.036625,12.94,0.47,132.23,132.71,129.40
63,2025-08-21T17:35:57.000Z,1.000000,13.05,0.00,132.71,132.71,130.47
64,2025-08-30T10:24:26.000Z,0.990642,13.15,-0.12,132.71,132.58,131.53
65,2025-09-03T13:44:34.000Z,0.916595,13.19,-1.10,132.58,131.48,131.87
66,2025-09-03T20:35:13.000Z,0.991001,13.21,-0.12,131.48,131.36,132.10
67,2025-09-08T10:00:29.000Z,1.103315,13.23,1.37,131.36,132.73,132.32
68,2025-09-09T09:01:33.000Z,1.000000,13.27,0.00,132.73,132.73,132.67
69,2025-09-16T15:25:59.000Z,1.003005,13.25,0.04,132.73,132.77,132.53
70,2025-09-20T01:10:27.000Z,0.996940,13.24,-0.04,132.77,132.73,132.37
71,2025-09-21T13:22:25.000Z,0.974552,13.24,-0.34,132.73,132.39,132.40
72,2025-10-01T21:08:18.000Z,0.983931,13.24,-0.21,132.39,132.18,132.42
73,2025-10-09T22:23:17.000Z,1.000000,13.24,0.00,132.18,132.18,132.37
74,2025-10-27T15:28:55.000Z,1.001890,13.23,0.03,132.18,132.21,132.32
