TradeNumber,AlertTime,PnL,PositionSize,TradeReturn,PortfolioBefore,PortfolioAfter,MovingAvgPortfolio
1,2025-08-16T09:12:19.000Z,1.048962,10.00,0.49,100.00,100.49,100.00
2,2025-08-30T08:39:14.000Z,1.011755,10.02,0.12,100.49,100.61,100.24
3,2025-09-04T09:00:35.000Z,1.000000,10.04,0.00,100.61,100.61,100.37
4,2025-10-09T14:04:22.000Z,0.854064,10.04,-1.47,100.61,99.14,100.43
