TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,D6x7LNTQULYLucuA52WFcxjsoS3wzkT1mnQSXHmwZ2np,2025-08-16T09:12:19.000Z,2025-08-22T03:00:00.000+10:00,2025-08-22T05:00:00.000+10:00,1.048962,4.90,1.0000,120,Yes
2,bhbHw8zFDrShaFuFJbCYfS9JrxX8QmBh9ZGMeVnpump,2025-08-30T08:39:14.000Z,2025-08-31T10:00:00.000+10:00,2025-09-01T13:00:00.000+10:00,1.011755,1.18,1.0321,1620,Yes
3,BdcN1VqPMidszdJopVPzLXrkBEzekswK2UnhgUcKpump,2025-09-04T09:00:35.000Z,2025-09-09T01:00:00.000+10:00,2025-09-09T10:00:00.000+10:00,1.000000,0.00,1.0000,540,No
4,0x08472088336faa6faa87009dfefe20dee5ff4444,2025-10-09T14:04:22.000Z,2025-10-10T19:00:00.000+11:00,2025-10-11T13:00:00.000+11:00,0.854064,-14.59,1.0000,1080,No
