TradeNumber,TokenAddress,AlertTime,EntryTime,ExitTime,PnL,PnLPercent,MaxReached,HoldDurationMinutes,IsWin
1,EGKHYoVjNH8U6B4nvVxycej3jeJj3nieuW3iaaYABAGS,2025-08-14T19:44:30.000Z,2025-08-17T19:00:00.000+10:00,2025-08-18T03:00:00.000+10:00,1.012709,1.27,1.1135,480,Yes
2,FBbDTcyQWsDkyYQ8Ab1JeGboc5pkdLUaFwJEinGVpump,2025-08-27T15:26:22.000Z,2025-08-28T16:00:00.000+10:00,2025-08-28T18:00:00.000+10:00,1.009139,0.91,1.0031,120,Yes
3,9JT9owwwsTt3rnNBYAepDqDU92ek5gkz6WYycrzspump,2025-09-14T00:29:55.000Z,2025-09-15T02:00:00.000+10:00,2025-09-15T13:00:00.000+10:00,0.829172,-17.08,1.0214,660,No
